time_iso8601,clones_total,clones_unique,views_total,views_unique
2021-10-30 00:00:00+00:00,167,7,110,34
2021-10-31 00:00:00+00:00,3,3,97,38
2021-11-01 00:00:00+00:00,8,6,157,46
2021-11-02 00:00:00+00:00,49,7,365,62
2021-11-03 00:00:00+00:00,81,7,262,43
2021-11-04 00:00:00+00:00,1,1,217,46
2021-11-05 00:00:00+00:00,1,1,161,41
2021-11-06 00:00:00+00:00,2,1,110,18
2021-11-07 00:00:00+00:00,2,1,30,19
2021-11-08 00:00:00+00:00,296,5,306,39
2021-11-09 00:00:00+00:00,100,6,330,52
2021-11-10 00:00:00+00:00,177,5,215,56
2021-11-11 00:00:00+00:00,58,6,297,41
2021-11-12 00:00:00+00:00,165,6,250,44
